No.	DRIVER GENES
402	PPAN-P2RY11
403	FAM50A
404	TRAV16
405	STAT3
406	SEMA4A
407	GABBR1
408	SNRPD1
409	CLECL1
410	KEL
411	CABLES1
412	OR51T1
413	AGTPBP1
414	EPN2
415	SLC25A19
416	DVL3
417	ADAM17
418	ZNF251
419	JAM3
420	CEBPZ
421	SLC16A7
422	NARS
423	RNF216
424	PELI1
425	SLC22A10
426	PRPF39
427	SRFBP1
428	SF1
429	SLC25A10
430	CPO
431	PLD2
432	ATF1
433	NOTCH3
434	SLCO2B1
435	OAT
436	TAPBPL
437	TMEM243
438	TRIM29
439	SEC23IP
440	PRSS21
441	KRBA2
442	SKA3
443	CRCT1
444	ADH5
445	CADM3
446	ST6GALNAC2
447	FANCE
448	CES1
449	AGRN
450	RPS4XP16
451	ZNF496
452	LPPR5
453	DHRS7B
454	ERAL1
455	P4HA1
456	EEF2K
457	TTC17
458	FCF1
459	TMEM202
460	ELP6
461	RNFT1
462	KIAA0586
463	ZIC3
464	RBM23
465	ABR
466	FSTL4
467	MIR513B
468	LEF1
469	RYR3
470	SLC38A10
471	TRIM34
472	ACP1
473	CTD-2324F15.2
474	DEFB129
475	HES6
476	PHF12
477	PLIN4
478	INTS3
479	TGM6
480	MPZL2
481	TMPO
482	TRAP1
483	CTNND2
484	OR2K2
485	C9orf47
486	RDH5
487	ZC3H18
488	RIBC2
489	SDCBP2
490	SUSD1
491	MT1X
492	SYTL2
493	ERCC2
494	MS4A12
495	TARDBP
496	RAD54L2
497	SIK1
498	CEP57
499	FAM114A1
500	ARHGAP4
501	CCNB1IP1
502	BTF3L4
503	PRSS3P2
504	WDR90
505	CASR
506	TLE2
507	LRRC6
508	MTFR2
509	SPOCK2
510	CCDC33
511	EPC2
512	NUPL1
513	NPAS4
514	IBA57
515	SPRR1B
516	FTH1
517	PCDHGA3
518	C10orf76
519	PDCD4
520	RCVRN
521	ELAVL2
522	KCNJ11
523	ADAM18
524	CYP2B6
525	HSPB2
526	FADS2
527	PPP1R3B
528	AGBL5
529	SIX2
530	COX15
531	C2CD2L
532	ARMC8
533	UBA6
534	IL17RA
535	ABCA8
536	GBGT1
537	LRRC59
538	ROR2
539	CLCN3
540	MAS1
541	BCL2L11
542	ZNF844
543	NUTM2G
544	KCNH7
545	CST3
546	TNR
547	KCNH2
548	POF1B
549	PMEL
550	LRRC2
551	RAB28
552	LRIF1
553	PPAN
554	GCNT4
555	DSG3
556	MAP7
557	HIST1H2BG
558	GRASP
559	NASP
560	ST18
561	TLL1
562	RNF25
563	SMARCAD1
564	PCDHA12
565	CD68
