No.	DRIVER GENES
405	ANKRD13B
406	TSSK4
407	NDUFV1
408	LIMS1
409	NLRP9
410	WISP1
411	FAM180A
412	ARHGEF5
413	LEPR
414	NOXO1
415	TPSB2
416	UTP20
417	EGR4
418	LGI3
419	TRPM8
420	WWC2
421	ASB6
422	KIAA0895L
423	C16orf86
424	CDK5RAP2
425	CDC6
426	CHD3
427	KRTAP9-4
428	RASSF2
429	TRIM37
430	KANSL1L
431	BTBD10
432	IFT140
433	CALCA
434	VCP
435	TIAM1
436	MC5R
437	HRH2
438	CLNK
439	HSF4
440	PAFAH1B2
441	PARD3B
442	ERI2
443	KLHL21
444	PRKAG3
445	WISP3
446	RGMA
447	C14orf166B
448	OR10H5
449	RNF138
450	CDC42BPG
451	CSF1R
452	PPAN-P2RY11
453	USP42
454	TPI1
455	NAGA
456	TBX18
457	DMGDH
458	CHAF1B
459	POLR1B
460	ZNF506
461	TMEM102
462	EN2
463	AREL1
464	CNOT2
465	MGAT4A
466	USP9Y
467	WASH4P
468	MYH1
469	COL21A1
470	CDCA5
471	AHI1
472	KCNK3
473	ERMN
474	NCOA3
475	NFATC2
476	CD34
477	EXD2
478	TTC12
479	IRF4
480	PRKCH
481	RBFA
482	ITGA7
483	SDHB
484	RFX2
485	IPO7
486	GRHL3
487	SCNN1B
488	NPTX2
489	IFIT3
490	ACOX2
491	ISPD
492	BEND3
493	TXNL4A
494	TRAJ57
495	THAP4
496	LINC00521
497	ZNF594
498	HPGD
499	RUNX2
500	TRPV2
501	PLIN4
502	TEX26
503	MCOLN3
504	SH2D4A
505	GOLGA6L7P
506	NOP58
507	NPIPA1
508	GPR137B
509	RPL10A
510	ZNF662
511	PCDHB18
512	TBL2
513	CCDC15
514	IL18RAP
515	EVC
516	PCSK4
517	SULT1E1
518	CHI3L2
519	RAD17
520	IGKV1D-16
521	SI
522	HSPA8
523	C5orf45
524	TMEM56
525	RPL37
526	NEB
527	CPA2
528	NRN1L
529	CHIAP2
530	BHLHB9
531	GANAB
532	SIX2
533	DMTF1
534	NBPF11
535	PRR23C
536	PAX5
537	FAM174B
538	ZFYVE26
539	L34079.2
540	PVRL4
541	NPRL3
542	USP29
543	CXCL16
544	PI4KB
545	LPCAT4
546	HKDC1
547	RACGAP1
548	OR2A25
549	ALAS2
550	PCIF1
551	GLCCI1
552	ARHGAP11A
553	C16orf62
554	ZIC2
555	WWP2
556	CYYR1
557	CPN1
558	COL7A1
559	PLXNB2
560	ARHGEF2
561	KRT38
562	TRPV5
563	KRTAP19-8
564	ARHGAP18
565	HEATR6
566	MYO1D
567	GRM4
568	CDC23
569	SUFU
570	ZNF211
571	SERPINE3
572	BAGE2
573	OR8J1
574	ANKS6
575	TOE1
576	KLK6
577	ZDHHC4
578	OIT3
579	CCDC24
580	PRKCZ
581	MTBP
582	CCDC42
583	GTF2E2
584	ICA1
585	TUBAL3
586	RPL23A
587	NUP188
588	FAM13A
589	TRIM8
590	DAO
591	MPP7
592	SENP7
593	FMR1
594	GPR17
595	IGKV2-30
596	NETO1
597	CSPG5
598	SETD5
599	LRPPRC
600	KCNN1
601	FAM212A
602	RIMS2
603	IRAK1BP1
604	TEAD3
605	STAT1
606	RECQL
607	IMP4
608	NR2F2
609	MAFF
610	CD244
611	LRG1
612	POGZ
613	TP53BP2
614	DHPS
615	PCDHB4
616	GZMA
617	FAM83G
618	FAHD2A
619	AMFR
620	BCAS1
621	CHUK
622	KIAA1199
623	LAMA5
624	PAPPA2
625	EIF2B5
626	HSD17B8
627	FANCD2OS
628	RHAG
629	PFKM
630	COPS7A
631	PARP14
632	ST6GALNAC5
633	MARCH6
634	MAGEL2
635	ZNF560
636	GLUD1
637	LYL1
638	IFRD2
639	SLC13A5
640	CCDC87
641	PPIL4
642	ZNF780B
643	OR9Q2
644	DRC1
645	SIRT7
646	SAV1
647	ILVBL
648	GPALPP1
649	BRSK1
650	KIF24
651	CRYGS
652	CENPI
653	ZFAND5
654	RPA1
655	CA10
656	CTCFL
657	FKBP8
658	PTPRC
659	MRPL39
660	ZNF750
661	HACE1
662	DLX6
663	KRTAP6-2
664	DSG3
665	SPHKAP
666	CHST11
667	HOXD3
668	SLC18A3
669	TAGAP
670	OSCAR
671	MKL2
672	EBF4
673	RBMXL2
674	TXNDC11
675	CDC37
676	KDM5A
677	RSBN1
678	PCYOX1L
679	EXOC4
680	MEF2C
681	ANKZF1
682	CA6
683	ARHGAP44
684	ZNF131
685	RAP1B
686	PSG11
687	KRT81
688	DPP9
689	CRIP3
690	SSSCA1
691	OR6K2
692	EPCAM
693	SAP130
694	PSMD1
695	GAPDHS
696	URGCP
697	WDFY3
698	HK1
699	IGHV1OR21-1
700	TRAP1
701	C8A
702	NFKBIE
703	STRAP
704	C2ORF15
705	DCDC1
706	VAV1
707	RPL28
708	ERO1LB
709	CKAP2L
710	PROX2
711	SMTNL1
712	RFPL3
713	CPEB3
714	XRCC2
715	GBGT1
716	IGHG3
717	PHC2
718	LRP5
719	TP53INP1
720	MYPOP
721	ADAM7
722	IL13RA1
723	AACSP1
724	GBF1
