No.	DRIVER GENES
400	ZNF169
401	ZKSCAN5
402	CDC7
403	CNR1
404	TBC1D15
405	DNMT3A
406	DNAH8
407	OR51Q1
408	FANCM
409	LPPR1
410	FAM208A
411	TMEM196
412	THOC3
413	SLC22A12
414	KHDRBS2
415	GBE1
416	EPHB1
417	CALCRL
418	GREM2
419	INPP5B
420	OSMR
421	ANKRD13C
422	GHR
423	KLKB1
424	TSHR
425	FAM217B
426	FRY
427	CHFR
428	CTSD
429	TMEM251
430	COIL
431	TNF
432	RHOU
433	MRPS10
434	WDR46
435	AKR1C3
436	TPH1
437	ACACA
438	CARD10
439	CACNB4
440	PGM3
441	SYN3
442	TCERG1L
443	SNTG1
444	HSF5
445	CMYA5
446	PDE7A
447	NUP160
448	ZSCAN16
449	SPON2
450	OR4X2
451	FBXO30
452	PLEKHA4
453	PREB
454	CHST8
455	REG1P
456	ANXA2
457	GINS1
458	R3HDM1
459	SLC9C1
460	NUDT13
461	GHSR
462	STAB1
463	WISP3
464	NSMAF
465	NDST3
466	GRIN3A
467	TEAD3
468	FTSJ3
469	APRT
470	SNORD116-11
471	CDK1
472	PCYT2
473	PRSS38
474	ATG16L1
475	OCIAD1
476	ZNF773
477	H1F0
478	ERCC2
479	STAU2
480	KCNA2
481	SRPX2
482	SNX2
483	XK
484	NSD1
485	EPRS
486	STPG2
487	MFSD9
488	CEACAM21
489	TRUB2
490	DMWD
491	LRRC25
492	PNRC1
493	RUNX1T1
494	MAEA
495	DVL1
496	CCM2
497	VAPA
498	KIAA0907
499	MPL
500	ATXN3L
501	CPA3
502	DENND1A
503	AMOT
504	LRP11
505	MYLK3
506	CDK2AP1
507	LDHB
508	COPS7A
509	SLC38A8
510	SIPA1L2
511	NOTUM
512	CCDC104
513	C10orf2
514	FAM126A
515	PPP2R3A
516	ZNF140
517	CBLN2
518	METTL22
519	MIR520F
520	CADM2
521	OR9Q2
522	MAP4K3
523	S100A16
524	ASH1L
525	SCN3B
526	PRSS1
527	RALGAPA2
528	PRAMEF11
529	TTC39C
530	RDX
531	IFT74
532	TAS2R5
533	BAIAP2L2
534	TFDP2
535	RPS27
536	FTCD
537	C3orf38
538	BPIFB4
539	TMEM200C
540	S100A7A
541	F7
542	OR1L6
543	NTF3
544	SCNM1
545	NETO2
546	CSMD1
547	MIPEP
548	OR3A2
549	BBS12
550	SLC6A1
551	GAR1
552	ZNF326
553	SVOPL
554	SUMF2
555	R3HDML
556	PROS1
557	ARHGEF12
558	TAOK1
559	LBH
560	GBX1
561	UBE3A
562	OR6B3
563	CECR6
564	PODXL2
565	SEPT5
566	PLIN3
567	MAK
568	PLBD2
569	RP11-707M1.1
570	PPARGC1A
571	MERTK
572	ZC3H18
573	INO80
574	C1QTNF1
575	BNIP3
576	MTHFD1L
577	CACNA1F
578	DMGDH
579	NAGPA
580	CLASRP
581	AFM
582	TCF23
583	PAX8
584	RYBP
585	UCP3
586	IFNLR1
587	TMEM147
588	TP53INP1
589	MFHAS1
590	TESK2
591	TGM4
592	PMP2
593	TIA1
594	TAS2R1
595	SYDE1
596	ZBTB49
597	LRRN1
598	NCAPD3
599	METAP2
600	AMPD1
601	RP11-596D21.1
602	NDST2
603	TRMT1
604	CBX2
605	KLK13
606	MAP1S
607	C14orf142
608	ZNF200
609	PDK2
610	UBXN10
611	KDM6B
612	KRTAP13-4
613	TRAPPC9
614	CD48
615	BCAS1
616	OTUB1
617	TPD52L1
618	FOXG1
619	TTC21B
620	RACGAP1
621	ADARB2
622	PROX1
623	COL11A2
624	LARS2
625	LIPG
626	SLC35F6
627	MTMR2
628	MYOCD
629	TAF5
630	NR6A1
631	FOXN4
632	FOXD4L5
633	CENPE
634	CIAPIN1
635	HAPLN1
636	NBEAL2
637	ZBTB7C
638	CACNA1A
639	FAM222B
640	CHORDC1
641	EXOSC9
642	RHO
643	ROBO2
644	LLGL2
645	SMARCA2
646	LGI2
647	WBP11P1
648	FUT1
649	ABHD13
650	RNF207
651	SLC7A4
652	RAD18
653	TMC6
654	PGK2
655	TRIM71
656	ZSCAN32
657	RAC3
658	ADH1B
659	ATP13A2
660	TAF6
661	GLRX3
