No.	DRIVER GENES
399	HSF2
400	ELMOD3
401	CA6
402	SRI
403	IGSF9B
404	HAPLN1
405	GADL1
406	TRBV4-1
407	MAN1A1
408	CCDC115
409	DBX2
410	LIMD1
411	OR11A1
412	ZFYVE21
413	TBC1D9B
414	CBWD1
415	SNORD115-20
416	WDR34
417	ENTHD1
418	LIM2
419	PTCHD2
420	CEACAM16
421	KLHL5
422	QPCTL
423	SIAE
424	DUSP14
425	NSMAF
426	CTAGE1
427	RP9
428	LGI4
429	OGDHL
430	FOXP3
431	GTF3C1
432	GNB1
433	TMEM154
434	TRPC4AP
435	TAX1BP1
436	HEATR5A
437	TPD52L2
438	A4GNT
439	FGF10
440	ALPK1
441	CENPJ
442	OR56B1
443	PTX4
444	FAM83F
445	FSCN2
446	OSBPL2
447	GTPBP2
448	MRPL46
449	NEDD8-MDP1
450	PTGES3L-AARSD1
451	TMEM108
452	PNPT1
453	NAA16
454	CNTLN
455	ZCCHC5
456	ARHGAP1
457	PHC3
458	CD300C
459	VTN
460	SPATA8
461	TUBA4B
462	IAPP
463	EIF4G3
464	PRICKLE3
465	ITGB2
466	BRIP1
467	SNORD115-22
468	APOBEC3H
469	TCAP
470	WNK2
471	COA1
472	OR4A16
473	RPL22
474	REG3A
475	ALOX15B
476	JAKMIP1
477	VWA5A
478	SLC2A13
479	C2orf83
480	SLC10A6
481	SELL
482	KRTAP19-2
483	MVD
484	C19orf60
485	RECQL4
486	MEP1A
487	FAT2
488	CACNG8
489	LCK
490	PSMD9
491	CHAF1A
492	CIRH1A
493	COPZ2
494	CLIC2
495	AOC4P
496	NPHS1
497	EPHB6
498	ZNRF2
499	ASPSCR1
500	RAB37
501	APEX2
502	REV3L
503	SRBD1
504	SAP130
505	PCM1
506	PHF8
507	ENTPD6
508	PLEKHO1
509	CHERP
510	PAK4
511	SCML1
512	LRRK2
513	ZXDB
514	TGM5
515	ECI2
516	NIM1K
517	POLRMT
518	TIGIT
519	TXNDC16
520	FUCA1
521	GMEB2
522	DDX20
523	SMYD2
524	PAOX
525	XAF1
526	GLP1R
527	MPPE1
528	TBX18
529	C3orf22
530	PRDX2
531	DDX39A
532	PEMT
533	HEBP2
534	ATG4B
535	RNF14
536	CAMK1
537	GRB10
538	ANGPT1
539	HSCB
540	ATXN3
541	LAMTOR5
542	INCENP
543	GPR55
544	ZNF700
545	HNRNPKP3
546	ANAPC5
547	IGHV1-69
548	MURC
549	KRTAP6-1
550	GMCL1
551	CACNG7
552	MESP2
553	CDC20
554	RCSD1
555	SNTA1
556	GDI1
557	SNORA73B
558	KCNJ4
559	GPR182
560	TCEB2
561	PCDP1
