No.	DRIVER GENES
403	PMPCB
404	NEURL1
405	GLIS1
406	TFAP2B
407	FAM167A
408	OR52B2
409	LOXL2
410	PCP4L1
411	SHISA2
412	PPAPDC2
413	PKHD1
414	CEP72
415	DNAJC14
416	ZNF263
417	IL1RAPL2
418	KIAA0232
419	CC2D1A
420	ADD1
421	CAT
422	GNB5
423	SERINC5
424	NUP160
425	KCTD16
426	MATN1
427	ZNF414
428	DHX37
429	LRRC37A3
430	ITGB5
431	FAM129B
432	MC2R
433	ACTR5
434	RPL22
435	EPN1
436	SLC7A11
437	VTI1A
438	PI3
439	WASF1
440	RAPGEF3
441	FOXO3
442	C21orf59
443	MCM7
444	SLC38A5
445	IDO2
446	TMEM71
447	H6PD
448	PKD2L1
449	OR5K3
450	PLIN1
451	ALYREF
452	ZNF33B
453	TRMT44
454	SH3D19
455	MCF2
456	ZBED6CL
457	STK39
458	CRLF1
459	C19orf40
460	OCLN
461	FKBP1B
462	KRT19
463	SPATA5
464	BAZ1B
465	PLEKHA1
466	DDX31
467	TESPA1
468	STAT1
469	UQCR10
470	FRMPD4
471	FUT6
472	FIS1
473	MUC6
474	TP53BP1
475	TET2
476	C7orf65
477	ELFN2
478	FAM92B
479	NBEA
480	PSIP1
481	KRT222
482	GABRA4
483	DDRGK1
484	ZP1
485	AC024560.3
486	SIK3
487	OR6K2
488	KCTD21
489	KIAA2022
490	FNBP4
491	ASB8
492	TREH
493	ZNF354C
494	IGLL1
495	TNS1
496	SIAH3
497	CA5BP1
498	TXNDC16
499	PIGX
500	CHCHD4
501	DHX35
502	FOSL2
503	FGFRL1
504	CTD-2168K21.2
505	NR1D1
506	TBC1D25
507	TAF2
508	ZNF141
509	SMIM3
510	AASDHPPT
511	ARHGAP25
512	MAPK1IP1L
513	CCNT1
514	BCAM
515	CACNA1S
516	IGJ
517	CHCHD10
518	TNFRSF14
519	FTL
520	FOXA1
521	GNAT2
522	GPER1
523	POU3F3
524	ACTR6
525	KDR
526	COL4A3BP
527	RPH3A
528	MYOZ3
529	NRK
530	MTX1
531	EEPD1
532	TRIM11
533	BRD4
534	RBM23
535	GNGT1
536	VAV2
537	FAM159A
538	U2AF1
539	DRG2
540	EIF1AX
541	MROH8
542	ZNF446
543	ZNF117
544	ZNF239
545	FYN
546	CCDC135
547	CTC-260E6.2
548	IGSF10
549	IPO9
550	PPFIBP1
551	EXTL2
552	LHFPL4
553	RNF139
554	DOT1L
555	HFE2
556	TEX30
557	ARL4A
558	OR4K1
559	TSPAN4
560	CYP17A1
561	LYZL2
562	CIC
563	PIK3R6
564	MYO5A
565	KIF9
566	ATOX1
567	PFKL
568	RIPK4
569	TAS2R3
570	SETX
571	CACNA1A
572	FLAD1
573	PRR5-ARHGAP8
574	RNASE4
575	UMPS
576	CXorf36
577	ACOT9
578	PAM16
579	RP11-80F22.15
580	MAN2A1
581	ESRP1
582	BTF3
583	RIN1
584	RIMBP3B
585	RFC3
586	PBX4
587	SLC29A1
588	MS4A1
589	MARK3
590	TMEM97
591	FOXE3
592	PLIN3
593	CHKA
594	PREX2
595	ARHGAP9
596	MYCT1
597	PAF1
598	TRAF3IP2
599	GPC3
600	SNHG14
601	DEF8
602	USP9Y
603	GUCY1A2
604	SLC17A1
605	TRDV1
606	KANSL2
607	TMEM198
608	HNRNPA2B1
609	ZNF444
610	DIO2
611	PRKG1
612	XKR6
613	WBP11P1
614	GLG1
615	ZNF395
616	PER1
617	CAPN5
618	MB21D2
619	ISOC2
620	DLK2
621	VDAC2
622	PIGT
623	ZDHHC3
624	PTN
625	PDCD2L
626	FASTKD1
627	TRIM26
628	MLH1
629	F3
630	PHC1
631	PSTK
632	ARHGAP1
633	PDE3B
634	PCNA
635	NEK1
636	ZNF780A
637	ARHGAP22
638	PKD2
639	ALDH1A1
640	QRSL1
641	SNED1
642	NOS1AP
643	LDHAL6B
644	ZBTB5
645	SPAG7
646	WSB2
647	FAM181B
648	TTPA
649	COL4A3
650	IL12RB1
651	CXCL14
652	TRIM8
653	DIDO1
654	OR4D6
655	DCAF6
656	SOGA1
657	WFDC8
658	XPO4
659	ZNF496
660	SUPT6H
661	MAP3K7CL
662	PLOD1
663	TMPRSS11A
664	UCN
665	YPEL5
666	PRDM13
667	SCAF1
668	COPS8
669	SLC25A51
670	SPDYE1
671	SLC6A9
672	NUP37
673	ZCCHC4
674	APOPT1
675	UGT2B11
676	COL10A1
677	RASAL1
678	TMPRSS11F
679	GJB5
680	RFPL1
681	PRICKLE4
682	ESYT1
683	KLK11
684	ROR2
685	SLC46A1
686	NDUFAF6
687	TBC1D10C
688	PDAP1
689	PARP11
690	PHF13
691	ZNF808
692	ZNF133
693	E2F6
694	KLHL18
695	FBXW11
696	HFE
697	SREK1
698	SMARCA5
699	KRT79
700	SNORD114-31
701	ZPBP
702	AGRN
703	ASAP2
704	ZNF607
705	MFSD6L
706	SIK2
707	TRMT10B
708	GAL3ST4
709	MPP5
710	DQX1
711	IFFO1
712	STOX1
713	C14orf39
714	ATP2C1
715	MIEF2
716	GABBR1
717	KIAA1033
